,기기,application,Format,Format_profile,Codec_ID,Overall_bitrate_mode,Overall_bitrate,Frame_rate(FPS),Writing_application,Movie_name,Recorded_date,Encoded_date,Tagged_date,Writing_library,Copyright,Video_ID,Video_Format,Video_Format_Info,Video_Format_profile,Video_Format_settings,Video_Format_settings_CABAC,Video_Format_settings_Reference_frames,Video_Format_settings_GOP,Video_Codec_ID,Video_Codec_ID_Info,Video_Duration_FirstFrame,Video_Duration_LastFrame,Video_Source_duration,Video_Source_Duration_FirstFrame,Video_Source_Duration_LastFrame,Video_Bitrate_mode,Video_Bitrate,Video_Maximum_bitrate,Video_Width(Pixels),Video_Height(Pixels),Video_Display_aspect_ratio,Video_Rotation,Video_Frame_rate_mode,Video_Frame_rate,Video_Minimum_frame_rate,Video_Maximum_frame_rate,Video_Color_space,Video_Chroma_subsampling,Video_Bit_depth,Video_Scan_type,Video_Bits/(Pixel*Frame),Video_Stream_size,Video_Source_stream_size,Video_Title,Video_Writing_library,Video_Encoding_settings,Video_Encoded_date,Video_Tagged_date,Video_Color_range,Video_Color_range_Original,Video_Color_primaries,Video_Transfer_characteristics,Video_Transfer_characteristics_Original,Video_Matrix_coefficients,Video_Metas,Video_Codec_configuration_box,Audio_ID,Audio_Format,Audio_Format_Info,Audio_Codec_ID,Audio_Duration_LastFrame,Audio_Source_duration,Audio_Bitrate_mode,Audio_Bitrate,Audio_Normal_bitrate,Audio_Channel(s),Audio_Channel_layout,Audio_Sampling_rate,Audio_Frame_rate,Audio_Compression_mode,Audio_Stream_size,Audio_Source_stream_size,Audio_Title,Audio_Encoded_date,Audio_Tagged_date,Audio_Default,Audio_Alternate_group,BOX_Sequence
iOS_텔레그램_원본(0602_2).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6650,30,no value,no value,NA,2023-06-02 02:02:17 UTC,2023-06-02 02:02:20 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6581,0,1072,1920,0.558,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.107,7.61 MiB (99%),NA,Core Media Video,no value,NA,2023-06-02 02:02:17 UTC,2023-06-02 02:02:20 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,9s 752ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,74.1 KiB (1%),74.4 KiB (1%),Core Media Audio,2023-06-02 02:02:17 UTC,2023-06-02 02:02:20 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(0602_1).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6671,29.97,no value,no value,NA,2023-06-02 02:01:40 UTC,2023-06-02 02:01:45 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6606,0,1072,1920,0.558,0,Variable,29.97,15,30,YUV,4:02:00,8 bits,Progressive,0.107,19.5 MiB (99%),NA,Core Media Video,no value,NA,2023-06-02 02:01:40 UTC,2023-06-02 02:01:45 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,24s 799ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,189 KiB (1%),190 KiB (1%),Core Media Audio,2023-06-02 02:01:40 UTC,2023-06-02 02:01:45 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(10).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,5815,30,no value,no value,NA,2023-06-07 05:00:04 UTC,2023-06-07 05:00:08 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,5747,0,1072,1920,0.558,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.093,6.76 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 05:00:04 UTC,2023-06-07 05:00:08 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,9s 915ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,74.9 KiB (1%),75.2 KiB (1%),Core Media Audio,2023-06-07 05:00:04 UTC,2023-06-07 05:00:08 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(9).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6609,29.97,no value,no value,NA,2023-06-07 04:59:58 UTC,2023-06-07 05:00:04 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,M=1 N=15,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6546,0,1920,1072,16:09,0,Variable,29.97,15,30,YUV,4:02:00,8 bits,Progressive,0.106,14.7 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:59:58 UTC,2023-06-07 05:00:04 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,18s 924ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,145 KiB (1%),145 KiB (1%),Core Media Audio,2023-06-07 04:59:58 UTC,2023-06-07 05:00:04 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(8).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6641,29.912,no value,no value,NA,2023-06-07 04:59:54 UTC,2023-06-07 04:59:58 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6573,0,1072,1920,0.558,0,Variable,29.912,15,30,YUV,4:02:00,8 bits,Progressive,0.107,8.91 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:59:54 UTC,2023-06-07 04:59:58 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,11s 401ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,87.2 KiB (1%),87.6 KiB (1%),Core Media Audio,2023-06-07 04:59:54 UTC,2023-06-07 04:59:58 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(7).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6718,30,no value,no value,NA,2023-06-07 04:59:49 UTC,2023-06-07 04:59:54 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6650,0,1072,1920,0.558,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.108,7.48 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:59:49 UTC,2023-06-07 04:59:54 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,9s 497ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,71.7 KiB (1%),72.2 KiB (1%),Core Media Audio,2023-06-07 04:59:49 UTC,2023-06-07 04:59:54 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(6).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6533,30,no value,no value,NA,2023-06-07 04:59:38 UTC,2023-06-07 04:59:49 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6465,0,1072,1920,0.558,0,Constant,30,0,0,YUV,4:02:00,8 bits,Progressive,0.105,24.2 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:59:38 UTC,2023-06-07 04:59:49 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,31s 417ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,242 KiB (1%),242 KiB (1%),Core Media Audio,2023-06-07 04:59:38 UTC,2023-06-07 04:59:49 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(5).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6663,30,no value,no value,NA,2023-06-07 04:59:06 UTC,2023-06-07 04:59:38 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6598,0,1072,1920,0.558,0,Variable,30,15,30,YUV,4:02:00,8 bits,Progressive,0.107,71.0 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:59:06 UTC,2023-06-07 04:59:38 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,1min 30s,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,691 KiB (1%),691 KiB (1%),Core Media Audio,2023-06-07 04:59:06 UTC,2023-06-07 04:59:38 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(4).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6579,30,no value,no value,NA,2023-06-07 04:58:53 UTC,2023-06-07 04:59:06 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4.2,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6508,0,1072,1920,0.558,0,Variable,30,15.385,31.579,YUV,4:02:00,8 bits,Progressive,0.105,30.4 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:58:53 UTC,2023-06-07 04:59:06 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,39s 219ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,299 KiB (1%),300 KiB (1%),Core Media Audio,2023-06-07 04:58:53 UTC,2023-06-07 04:59:06 UTC,no value,0,ftyp mdat moov
iOS_텔레그램_원본(3).MOV,iOS,Telegram,MPEG4,Base Media Version 2,mp42 isom mp41 mp42,no value,6691,29.97,no value,no value,NA,2023-06-07 04:58:39 UTC,2023-06-07 04:58:53 UTC,no value,no value,1, AVC,Advanced Video Codec,High L4,CABAC 2 Ref Frames,Yes,2,0,avc1,Advanced Video Coding,no value,no value,NA,0,0,no value,6622,0,1072,1920,0.558,0,Variable,29.97,15,30,YUV,4:02:00,8 bits,Progressive,0.107,33.5 MiB (99%),NA,Core Media Video,no value,NA,2023-06-07 04:58:39 UTC,2023-06-07 04:58:53 UTC,Limited,no value,BT.709,BT.709,no value,BT.709,NA,avcC,2,AACLC,Advanced Audio Codec Low Complexity,mp4a-40-2,0,42s 493ms,Constant,64,0,2,L R,44.1,43.066 fps (1024 SPF),Lossy,327 KiB (1%),327 KiB (1%),Core Media Audio,2023-06-07 04:58:39 UTC,2023-06-07 04:58:53 UTC,no value,0,ftyp mdat moov
